Timestamp,AvailabilityZone,InstanceType,ProductDescription,SpotPrice,Timestamp
2018-08-25 21:29:25+00:00,us-west-2b,c3.xlarge,Linux/UNIX,0.0588,2018-08-25 21:29:25+00:00
2018-08-25 20:40:41+00:00,us-west-2a,c3.xlarge,Windows,0.2244,2018-08-25 20:40:41+00:00
2018-08-25 18:09:08+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1595,2018-08-25 18:09:08+00:00
2018-08-25 18:09:08+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0595,2018-08-25 18:09:08+00:00
2018-08-25 16:51:37+00:00,us-west-2c,c3.xlarge,SUSE Linux,0.1588,2018-08-25 16:51:37+00:00
2018-08-25 16:51:37+00:00,us-west-2c,c3.xlarge,Linux/UNIX,0.0588,2018-08-25 16:51:37+00:00
2018-08-25 09:42:06+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1596,2018-08-25 09:42:06+00:00
2018-08-25 09:42:06+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0596,2018-08-25 09:42:06+00:00
2018-08-25 00:01:52+00:00,us-west-2b,c3.xlarge,Windows,0.2244,2018-08-25 00:01:52+00:00
2018-08-24 23:02:51+00:00,us-west-2c,c3.xlarge,Windows,0.2244,2018-08-24 23:02:51+00:00
2018-08-24 21:38:59+00:00,us-west-2b,c3.xlarge,SUSE Linux,0.1589,2018-08-24 21:38:59+00:00
2018-08-24 21:38:59+00:00,us-west-2b,c3.xlarge,Linux/UNIX,0.0589,2018-08-24 21:38:59+00:00
2018-08-24 20:40:36+00:00,us-west-2a,c3.xlarge,Windows,0.2244,2018-08-24 20:40:36+00:00
2018-08-24 16:51:26+00:00,us-west-2c,c3.xlarge,SUSE Linux,0.1588,2018-08-24 16:51:26+00:00
2018-08-24 16:51:26+00:00,us-west-2c,c3.xlarge,Linux/UNIX,0.0588,2018-08-24 16:51:26+00:00
2018-08-24 09:41:58+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1596,2018-08-24 09:41:58+00:00
2018-08-24 09:41:58+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0596,2018-08-24 09:41:58+00:00
2018-08-24 00:00:56+00:00,us-west-2b,c3.xlarge,Windows,0.2244,2018-08-24 00:00:56+00:00
2018-08-23 23:01:56+00:00,us-west-2c,c3.xlarge,Windows,0.2244,2018-08-23 23:01:56+00:00
2018-08-23 21:38:21+00:00,us-west-2b,c3.xlarge,SUSE Linux,0.1589,2018-08-23 21:38:21+00:00
2018-08-23 21:38:21+00:00,us-west-2b,c3.xlarge,Linux/UNIX,0.0589,2018-08-23 21:38:21+00:00
2018-08-23 21:04:37+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1597,2018-08-23 21:04:37+00:00
2018-08-23 21:04:37+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0597,2018-08-23 21:04:37+00:00
2018-08-23 20:40:20+00:00,us-west-2a,c3.xlarge,Windows,0.2244,2018-08-23 20:40:20+00:00
2018-08-23 16:51:16+00:00,us-west-2c,c3.xlarge,SUSE Linux,0.1588,2018-08-23 16:51:16+00:00
2018-08-23 16:51:16+00:00,us-west-2c,c3.xlarge,Linux/UNIX,0.0588,2018-08-23 16:51:16+00:00
2018-08-23 00:00:24+00:00,us-west-2b,c3.xlarge,Windows,0.2244,2018-08-23 00:00:24+00:00
2018-08-22 23:01:23+00:00,us-west-2c,c3.xlarge,Windows,0.2244,2018-08-22 23:01:23+00:00
2018-08-22 21:37:39+00:00,us-west-2b,c3.xlarge,SUSE Linux,0.1589,2018-08-22 21:37:39+00:00
2018-08-22 21:37:39+00:00,us-west-2b,c3.xlarge,Linux/UNIX,0.0589,2018-08-22 21:37:39+00:00
2018-08-22 21:29:22+00:00,us-west-2c,c3.xlarge,Windows,0.2228,2018-08-22 21:29:22+00:00
2018-08-22 21:29:22+00:00,us-west-2b,c3.xlarge,Windows,0.2228,2018-08-22 21:29:22+00:00
2018-08-22 21:04:30+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1597,2018-08-22 21:04:30+00:00
2018-08-22 21:04:30+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0597,2018-08-22 21:04:30+00:00
2018-08-22 20:39:31+00:00,us-west-2a,c3.xlarge,Windows,0.2244,2018-08-22 20:39:31+00:00
2018-08-22 20:30:46+00:00,us-west-2c,c3.xlarge,SUSE Linux,0.1589,2018-08-22 20:30:46+00:00
2018-08-22 20:30:46+00:00,us-west-2c,c3.xlarge,Linux/UNIX,0.0589,2018-08-22 20:30:46+00:00
2018-08-22 15:38:17+00:00,us-west-2a,c3.xlarge,SUSE Linux,0.1593,2018-08-22 15:38:17+00:00
2018-08-22 15:38:17+00:00,us-west-2a,c3.xlarge,Linux/UNIX,0.0593,2018-08-22 15:38:17+00:00
